classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (micrometers squared),Cellular surface area (micrometers squared),Radial proximity (unitless),Apical proximity (unitless)
ZO1,AICS-23_37_8,14.29056,44.90748,33.694017,84.73554504,0.3868598,0.005394102
ZO1,AICS-23_37_9,14.25276,34.0362,36.76239084,89.0371536,0.1564652,0.02554123
ZO1,AICS-23_38_5,26.27316,66.80124,53.0146128,135.7057548,0.2274727,0.02533691
ZO1,AICS-23_38_6,12.80448,29.10384,33.77373936,66.37718148,0.03751487,-0.07356615
ZO1,AICS-23_39_1,15.37812,34.31376,37.73764824,83.43129468,0.07158796,-0.1027648
ZO1,AICS-23_40_4,29.40732,62.96832,56.77778988,123.6824496,0.09524912,-0.0614707
ZO1,AICS-23_40_5,17.29728,34.45524,40.15806984,82.76212272,-0.0845262,-0.02316029
ZO1,AICS-23_41_2,12.204,32.7456,30.48872184,74.08933332,0.1580462,0.07321132
ZO1,AICS-23_41_4,11.51928,35.36244,30.94205328,84.1571418,0.3352146,-0.01067127
ZO1,AICS-23_41_5,25.59816,62.181,51.48603636,130.004832,0.1847687,-0.1362524
ZO1,AICS-23_42_1,12.41676,33.63012,34.55382888,97.72941672,0.1951836,-0.01895358
ZO1,AICS-23_42_2,18.07812,39.10356,43.66817004,93.34807416,0.1989481,-0.03137084
ZO1,AICS-23_42_4,18.29196,40.64904,43.36508772,99.29006136,0.1390124,-0.1606858
ZO1,AICS-23_42_5,23.71464,47.48004,53.81209248,117.3898656,-0.04350909,0.009918145
ZO1,AICS-23_42_6,19.08252,39.50424,43.71346128,99.52387404,-0.02051328,-0.03042353
ZO1,AICS-23_43_4,5.62032,52.04952,20.28794964,91.20412584,0.7967231,0.02399511
ZO1,AICS-23_44_3,16.72812,35.30196,41.97207072,94.45841376,0.08953828,-0.1648567
ZO1,AICS-23_44_4,17.928,38.95344,42.95214708,96.34450116,0.003596111,0.07541882
ZO1,AICS-23_44_5,23.85612,57.74112,51.569274,145.19736,0.2311161,-0.03788362
ZO1,AICS-23_45_3,18.47664,41.76252,43.1777652,90.76824276,0.2217321,-0.05384821
ZO1,AICS-23_45_5,4.32756,37.66068,17.7665394,79.4573172,0.7857657,0.007481995
ZO1,AICS-23_46_1,26.74836,55.91052,54.12769944,124.880322,0.05747932,-0.01546597
ZO1,AICS-23_46_3,22.5126,54.58212,48.42200424,126.226488,0.1362074,0.008202094
ZO1,AICS-23_46_5,22.02444,44.70228,45.82977624,96.59014008,-0.04366758,0.0159264
ZO1,AICS-23_46_6,20.88936,49.81284,48.11584896,114.4599379,0.100832,-0.1348037
ZO1,AICS-23_47_6,15.7248,33.31044,37.46929968,79.93930632,0.02698531,-0.1588298
ZO1,AICS-23_47_7,24.34428,59.63652,52.85297976,124.9365432,0.1541454,-0.08021615
ZO1,AICS-23_47_8,14.63292,32.06628,38.22062676,84.4742154,0.03808955,0.001170576
ZO1,AICS-23_48_3,18.0792,38.0052,47.72741052,115.5763536,-0.1016018,-0.1369985
ZO1,AICS-23_49_5,13.65444,38.21904,33.90995064,82.68895368,0.2817167,-0.01114531
ZO1,AICS-23_50_1,24.5592,53.06256,57.5600328,138.246534,0.07483719,-0.1368892
ZO1,AICS-23_50_2,16.74864,42.39432,42.67914252,112.0927926,0.1441839,-0.007126081
ZO1,AICS-23_50_5,21.22524,50.99868,48.56317416,118.3832232,0.07504571,-0.06153534
ZO1,AICS-23_50_7,19.14516,41.31432,43.06424028,98.92302888,0.01532275,-0.05217207
ZO1,AICS-23_51_4,22.95,50.32044,49.48278072,111.7925854,0.06191278,0.02390756
ZO1,AICS-23_51_6,16.0596,33.21972,37.74446928,84.18930312,-0.003705338,-0.03040675
ZO1,AICS-23_52_1,16.09308,44.48196,37.59415032,101.1504709,0.2154651,-0.03524157
ZO1,AICS-23_52_2,20.15712,53.70192,44.33277912,115.6767952,0.235143,-0.0616934
ZO1,AICS-23_52_3,11.61972,47.40228,29.13589776,92.56956768,0.4989494,0.03387144
ZO1,AICS-23_52_5,22.17456,53.96112,48.32562504,130.8681708,0.2063687,-0.0170011
ZO1,AICS-23_52_7,31.05972,66.88872,60.44705544,138.6483468,-0.008976843,0.05228582
ZO1,AICS-23_53_1,23.83128,52.52364,53.19510264,127.4412384,0.1433796,0.030693
ZO1,AICS-23_53_2,23.1606,47.93472,51.83184912,104.1344315,0.05987432,0.000404438
ZO1,AICS-23_53_3,19.90008,46.64736,46.81938576,106.3444601,0.1406804,-0.0294947
ZO1,AICS-23_53_4,11.691,35.02764,30.47812944,83.50609332,0.4136511,-0.05938528
ZO1,AICS-23_53_5,20.82564,48.38616,46.495107,108.1826256,0.09899037,-0.02107576
ZO1,AICS-23_53_6,25.15536,61.64964,56.02775484,155.040726,0.1800556,0.05698393
ZO1,AICS-23_54_1,11.03544,44.091,29.31821508,83.36732124,0.5304734,-0.03872242
ZO1,AICS-23_54_4,10.32588,39.69324,27.9570102,80.48857464,0.4789665,0.04426704
ZO1,AICS-23_54_5,20.5686,43.00668,44.42075424,90.5663004,-0.05046425,-0.1022102
ZO1,AICS-23_54_6,27.6264,64.75464,52.28201448,130.6924068,0.1678143,-0.05349437
ZO1,AICS-23_55_2,12.39084,31.4712,32.8124616,77.33873244,0.15336,0.003349071
ZO1,AICS-23_55_5,12.36276,31.563,32.29998732,77.4978396,0.1049855,0.04801507
ZO1,AICS-23_55_8,25.48584,57.0888,55.1843088,125.9399112,0.1326715,-0.03508095
ZO1,AICS-23_56_1,18.44964,46.2078,41.01466908,104.7955136,0.1711397,-0.1198402
ZO1,AICS-23_56_5,26.91576,61.07076,53.89045296,128.1378924,0.0759555,-0.1310779
ZO1,AICS-23_56_6,17.037,44.59644,40.84463196,109.1859587,0.1745042,0.04923976
ZO1,AICS-23_57_1,27.20304,62.33436,58.28832432,159.1754868,0.1747446,0.01547369
ZO1,AICS-23_57_2,22.37544,55.14804,49.7436564,124.174356,0.1558829,-0.0738462
ZO1,AICS-23_57_4,30.77352,73.0836,62.44203504,153.4119408,0.1914927,-0.1029127
ZO1,AICS-23_58_1,25.79904,61.938,51.65153388,126.6381948,0.1106919,0.003647727
ZO1,AICS-23_58_2,22.47156,47.78352,46.76743644,107.7540757,-0.0113129,-0.02615877
ZO1,AICS-23_58_4,27.12312,66.1878,54.26321232,138.386796,0.2334157,-0.09063504
ZO1,AICS-23_59_1,16.81452,44.02836,37.745028,94.83757512,0.2620324,-0.03042112
ZO1,AICS-23_59_2,28.0692,64.79568,59.63153376,135.3137196,0.1298117,-0.0279182
ZO1,AICS-23_59_3,20.07396,48.47796,43.7669238,117.463314,0.07953655,0.0825519
ZO1,AICS-23_59_4,23.11524,50.50728,51.40141356,121.1034912,0.03662744,-0.05738298
ZO1,AICS-23_59_9,5.64516,37.43496,19.65992508,75.8926254,0.6328359,0.1384046
ZO1,AICS-23_59_10,4.455,43.25076,17.70657012,75.3245934,0.8089851,0.003364196
Beta actin,AICS-16_21_8,9.3798,36.41652,26.2931304,69.14139048,0.677894,-0.1945819
Beta actin,AICS-16_22_5,21.04164,58.25304,43.42386972,127.4617248,0.8717867,-0.4808554
Beta actin,AICS-16_23_2,25.0074,60.99732,48.9818766,114.1955237,0.8053853,-0.5354032
Beta actin,AICS-16_23_6,22.36356,48.55464,47.41310724,96.00803532,0.5853387,-0.4004276
Beta actin,AICS-16_23_7,12.88764,36.1206,31.66309308,81.43409184,0.9474907,-0.9839603
Beta actin,AICS-16_24_1,17.26164,33.3396,39.52109412,82.73760888,0.8577585,-0.744961
Beta actin,AICS-16_24_6,5.3622,32.6808,19.72111656,68.97035232,0.9184671,-0.9635842
Beta actin,AICS-16_25_2,24.27516,57.9852,50.12627484,117.593682,0.850087,-0.8313558
Beta actin,AICS-16_25_5,21.43476,48.99636,44.3660346,106.0441597,0.8507493,-0.4926809
Beta actin,AICS-16_25_6,32.07924,72.98748,60.3584634,143.8408344,0.8119439,-0.5939333
Beta actin,AICS-16_25_7,9.04284,68.99256,32.7511188,107.490907,0.9490526,-0.9831681
Beta actin,AICS-16_26_1,25.4718,54.55404,51.68790888,115.9426178,0.8969271,-0.7679363
Beta actin,AICS-16_26_3,25.74936,58.9248,52.70008836,127.9146372,0.8819042,-0.8388672
Beta actin,AICS-16_26_5,19.27584,52.74936,41.00188836,93.8404578,0.8201377,-0.8529378
Beta actin,AICS-16_27_1,18.76284,42.33816,40.47837936,102.4397522,0.8233283,-0.5133414
Beta actin,AICS-16_27_3,20.09124,46.65924,42.76911972,103.9353176,0.7642305,-0.7069032
Beta actin,AICS-16_27_4,13.57992,33.9228,32.87978736,78.96213996,0.9363537,-0.7576488
Beta actin,AICS-16_28_1,23.54292,51.57756,49.94323584,110.7697204,0.9063948,-0.8656515
Beta actin,AICS-16_28_3,18.58356,45.54144,41.2538478,101.3612015,0.8891857,-0.8259363
Beta actin,AICS-16_28_4,15.99264,37.5138,36.34837932,85.32919668,0.8693377,-0.9297189
Beta actin,AICS-16_28_8,14.96232,32.93352,35.37178332,80.13718632,0.8474153,-0.7690836
Beta actin,AICS-16_28_9,26.57988,58.20876,51.30573276,117.5252388,0.8231621,-0.691724
